,Ti,Te,phi_h,Rie,Rea,Ci,Ce,Ai,alpha_int,v1,y1,Ta,phi_s,phi_int,P0_scale
2025-02-14 04:15:00+01:00,294.7625049978608,294.75572366919704,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.009393886749710076,294.7531111111111,265.78388888888884,0.0,41.41111111111111,0.07142857142857142
2025-02-14 04:30:00+01:00,294.720961517778,294.7141689971901,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.021038482221984952,294.74199999999996,265.94822222222217,0.0,41.37,0.07142857142857142
2025-02-14 04:45:00+01:00,294.67966558978486,294.67294800822157,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.004776700896021495,294.67488888888886,266.21955555555553,0.3844444444444444,41.08,0.07142857142857142
2025-02-14 05:00:00+01:00,294.63909979293544,294.63232559706614,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.00043312626875103227,294.63866666666667,266.49699999999996,0.6888888888888889,41.38111111111111,0.07142857142857142
2025-02-14 05:15:00+01:00,294.59911491444404,294.5923682773249,0.0,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.02711491444402931,294.572,266.63366666666667,0.19555555555555557,41.361111111111114,0.07142857142857142
2025-02-14 05:30:00+01:00,294.55905779322,294.552503459811,14.422222222222224,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.010391126553352182,294.54866666666663,266.81699999999995,0.04555555555555556,41.315555555555555,0.07142857142857142
2025-02-14 05:45:00+01:00,294.52114189236465,294.51379064913067,348.6,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,-0.010969218746432858,294.5321111111111,266.95,0.05555555555555555,41.39333333333333,0.07142857142857142
2025-02-14 06:00:00+01:00,294.5219873721327,294.49701866742816,850.9555555555555,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.044209594354928196,294.47777777777776,267.034,0.2611111111111111,41.55,0.07142857142857142
2025-02-14 06:15:00+01:00,294.5595607563235,294.5191847982366,1549.111111111111,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.05433853410131112,294.5052222222222,267.15,0.10666666666666667,41.35111111111111,0.07142857142857142
2025-02-14 06:30:00+01:00,294.65963817830783,294.5918106945129,1602.377777777778,4.1666625781594306e-05,0.04927213880826221,2631645.5764754093,9197989.282015873,5.735662542727882,1.0000000051686906,0.10819373386337736,294.5514444444444,267.15,0.005555555555555556,41.49111111111111,0.07142857142857142
