,Tout,solGlo,caf
2024-03-02 21:00:00+01:00,279.5028381347656,0.0,0.9995352029800415
2024-03-02 22:00:00+01:00,278.3950500488281,5.059367508275514e-11,0.9979291558265686
2024-03-02 23:00:00+01:00,277.92291259765625,5.0614887281419385e-11,0.9776309728622437
2024-03-03 00:00:00+01:00,277.93218994140625,5.061324970245806e-11,0.9929538369178772
2024-03-03 01:00:00+01:00,277.4463806152344,5.0605492019073495e-11,0.9438416957855225
2024-03-03 02:00:00+01:00,277.54217529296875,5.058964358539697e-11,0.5721147060394287
2024-03-03 03:00:00+01:00,277.1784362792969,5.065040054041958e-11,0.6869708299636841
2024-03-03 04:00:00+01:00,276.70184326171875,5.0601925427606886e-11,0.9999908208847046
2024-03-03 05:00:00+01:00,275.826904296875,-1.5183741763902248e-10,0.9551335573196411
2024-03-03 06:00:00+01:00,274.9160461425781,0.0,0.005761856213212013
2024-03-03 07:00:00+01:00,274.17950439453125,0.0,5.653830612573074e-06
2024-03-03 08:00:00+01:00,273.8777160644531,43968.0,0.5384500622749329
2024-03-03 09:00:00+01:00,274.4427795410156,316672.0,0.1914377510547638
2024-03-03 10:00:00+01:00,275.9552307128906,639716.375,0.02669096365571022
2024-03-03 11:00:00+01:00,278.1147766113281,912893.0,0.331924706697464
2024-03-03 12:00:00+01:00,279.25238037109375,1079494.375,0.7726438045501709
2024-03-03 13:00:00+01:00,280.6521301269531,1137354.0,0.9143362641334534
2024-03-03 14:00:00+01:00,281.74322509765625,1021912.5,0.9035848379135132
2024-03-03 15:00:00+01:00,283.03228759765625,842471.75,0.822278618812561
2024-03-03 16:00:00+01:00,283.0417175292969,500798.75,0.8474637866020203
2024-03-03 17:00:00+01:00,282.3895568847656,249194.5,0.8762913942337036
2024-03-03 18:00:00+01:00,281.4231262207031,34687.5,0.9554204344749451
2024-03-03 19:00:00+01:00,280.5680236816406,32.0,0.9945452809333801
2024-03-03 20:00:00+01:00,280.0630798339844,0.0,0.9998453855514526
2024-03-03 21:00:00+01:00,279.8978576660156,0.0,0.9999463558197021
2024-03-03 22:00:00+01:00,279.1741027832031,5.0593543243770966e-11,0.7754178643226624
2024-03-03 23:00:00+01:00,278.42169189453125,5.0607198986973856e-11,0.8917808532714844
2024-03-04 00:00:00+01:00,277.7894592285156,5.065811659044073e-11,0.8290348052978516
2024-03-04 01:00:00+01:00,279.10943603515625,5.06049716020307e-11,0.8893612623214722
