,Ti,Te,phi_h,Rie,Rea,Ci,Ce,Ai,v1,y1,Ta,phi_s,P0_scale
2025-02-14 05:30:00+01:00,294.61407667249983,294.60914418139026,14.422222222222224,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.06541000583320425,294.54866666666663,266.81699999999995,0.04555555555555556,0.07142857142857142
2025-02-14 05:45:00+01:00,294.5788543613377,294.57311348090786,348.6,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.04674325022662143,294.5321111111111,266.95,0.05555555555555555,0.07142857142857142
2025-02-14 06:00:00+01:00,294.5816610401329,294.55905461446025,850.9555555555555,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.10388326235508318,294.47777777777776,267.034,0.2611111111111111,0.07142857142857142
2025-02-14 06:15:00+01:00,294.6220857548201,294.5843740535057,1549.111111111111,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.11686353259790967,294.5052222222222,267.15,0.10666666666666667,0.07142857142857142
2025-02-14 06:30:00+01:00,294.7246426778355,294.6606296341153,1602.377777777778,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.1731982333910492,294.5514444444444,267.15,0.005555555555555556,0.07142857142857142
2025-02-14 06:45:00+01:00,294.8002259863678,294.750941658211,1841.6444444444444,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.21900376414558412,294.5812222222222,267.24344444444444,0.2677777777777778,0.07142857142857142
2025-02-14 07:00:00+01:00,294.92240079028346,294.8506939383581,1566.1444444444444,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.2710674569501789,294.6513333333333,267.42788888888884,0.35444444444444445,0.07142857142857142
2025-02-14 07:15:00+01:00,294.9846573649263,294.94221085730743,1502.2333333333333,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.24665736492629514,294.738,267.54999999999995,0.14555555555555555,0.07142857142857142
2025-02-14 07:30:00+01:00,295.0759270817792,295.0174987449033,1401.1333333333334,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.24226041511251642,294.83366666666666,267.58466666666664,0.7244444444444444,0.07142857142857142
2025-02-14 07:45:00+01:00,295.1360852604513,295.0932237485845,1269.6555555555556,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.22886303822911747,294.9072222222222,267.7313333333333,1.1655555555555555,0.07142857142857142
2025-02-14 08:00:00+01:00,295.20108696816163,295.15452397090735,370.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.2123091903839103,294.9887777777777,267.8975555555555,2.5455555555555556,0.07142857142857142
2025-02-14 08:15:00+01:00,295.1586904987421,295.1608282214419,124.15555555555555,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.11013494318656293,295.04855555555554,268.1362222222222,3.477777777777778,0.07142857142857142
2025-02-14 08:30:00+01:00,295.1501436229042,295.13231136916255,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.1015880673486367,295.04855555555554,268.308,5.4511111111111115,0.07142857142857142
2025-02-14 08:45:00+01:00,295.10478600718466,295.10567715533625,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.05478600718471035,295.04999999999995,268.4018888888889,9.77111111111111,0.07142857142857142
2025-02-14 09:00:00+01:00,295.0883239828242,295.0744284505426,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,0.03687953837974533,295.0514444444444,268.55466666666666,12.012222222222222,0.07142857142857142
2025-02-14 09:15:00+01:00,295.0562876121986,295.051036763369,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.025823498912484377,295.0821111111111,268.65,16.036666666666665,0.07142857142857142
2025-02-14 09:30:00+01:00,295.04015319762885,295.02697511629344,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.06362458014889037,295.10377777777774,268.733,19.435555555555556,0.07142857142857142
2025-02-14 09:45:00+01:00,295.01837504465504,295.00862272536,0.0,4.1666625519101946e-05,0.05781984238620332,2891907.8311792747,8799390.249777623,10.55729248998474,-0.10140273312272816,295.11977777777776,268.8082222222222,21.516666666666666,0.07142857142857142
